,municipio
651,Almoloya de Juárez
652,Villa Victoria
653,Villa de Allende
654,Donato Guerra
655,Ixtapan del Oro
656,Santo Tomás
657,Otzoloapan
658,Zacazonapan
659,Valle de Bravo
660,Amanalco
661,Temascaltepec
662,Zinacantepec
663,Tejupilco
664,Luvianos
665,San Simón de Guerrero
666,Amatepec
667,Tlatlaya
668,Sultepec
669,Texcaltitlán
670,Coatepec Harinas
671,Zacualpan
672,Almoloya de Alquisiras
673,Ixtapan de la Sal
674,Tonatico
675,Zumpahuacán
676,Lerma
677,Xonacatlán
678,Otzolotepec
679,San Mateo Atenco
680,Mexicaltzingo
681,Calimaya
682,Chapultepec
683,San Antonio la Isla
684,Tenango del Valle
685,Joquicingo
686,Tenancingo
687,Malinalco
688,Ocuilan
689,Atizapán
690,Almoloya del Río
691,Texcalyacac
692,Tianguistenco
693,Xalatlaco
694,Capulhuac
695,Ocoyoacac
696,Huixquilucan
697,Atizapán de Zaragoza
698,Naucalpan de Juárez
699,Tlalnepantla de Baz
700,Polotitlán
701,Jilotepec
702,Soyaniquilpan de Juárez
703,Villa del Carbón
704,Chapa de Mota
705,Nicolás Romero
706,Isidro Fabela
707,Jilotzingo
708,Tepotzotlán
709,Coyotepec
710,Huehuetoca
711,Cuautitlán Izcalli
712,Teoloyucan
713,Cuautitlán
714,Melchor Ocampo
715,Tultitlán
716,Tultepec
717,Ecatepec de Morelos
718,Zumpango
719,Tequixquiac
720,Apaxco
721,Hueypoxtla
722,Coacalco de Berriozábal
723,Tecámac
724,Jaltenco
725,Tonanitla
726,Nextlalpan
727,Teotihuacán
728,San Martín de las Pirámides
729,Acolman
730,Otumba
731,Axapusco
732,Nopaltepec
733,Temascalapa
734,Tezoyuca
735,Chiautla
736,Papalotla
737,Tepetlaoxtoc
738,Texcoco
739,Chiconcuac
740,Atenco
741,Chimalhuacán
742,Chicoloapan
743,Ixtapaluca
744,Chalco
745,Valle de Chalco Solidaridad
746,Temamatla
747,Cocotitlán
748,Tlalmanalco
749,Ayapango
750,Tenango del Aire
751,Ozumba
752,Juchitepec
753,Tepetlixpa
754,Amecameca
755,Atlautla
756,Ecatzingo
757,Nezahualcóyotl
758,Morelia
759,Huaniqueo
760,Coeneo
761,Quiroga
762,Tzintzuntzan
763,Lagunillas
764,Acuitzio
765,Madero
766,Puruándiro
767,José Sixto Verduzco
768,Angamacutiro
769,Panindícuaro
770,Zacapu
771,Tlazazalca
772,Purépero
773,Huandacareo
774,Cuitzeo
775,Chucándiro
776,Copándaro
777,Tarímbaro
778,Santa Ana Maya
779,Zinapécuaro
780,Indaparapeo
781,Queréndaro
782,Sahuayo
783,Briseñas
784,Cojumatlán de Régules
785,Pajacuarán
786,Vista Hermosa
787,Tanhuato
788,Yurécuaro
789,Ixtlán
790,La Piedad
791,Numarán
792,Churintzio
793,Zináparo
794,Penjamillo
795,Marcos Castellanos
796,Jiquilpan
797,Villamar
798,Chavinda
799,Zamora
800,Ecuandureo
801,Tangancícuaro
802,Chilchota
803,Jacona
804,Tangamandapio
805,Cotija
806,Tocumbo
807,Tingüindín
808,Uruapan
809,Charapan
810,Paracho
811,Cherán
812,Nahuatzen
813,Tingambato
814,Los Reyes
815,Peribán
816,Tancítaro
817,Nuevo Parangaricutiro
818,Buenavista
819,Tepalcatepec
820,Aguililla
